1597245911.720838|179.175.57.247|7500|170.239.243.219|52138|TCP|40
1597245911.721291|52.223.37.89|443|146.55.105.97|7176|TCP|40
1597245911.721699|91.4.80.18|18010|182.250.165.63|45194|TCP|40
1597245911.722065|52.92.253.207|443|175.86.21.37|42970|TCP|40
1597245911.72253|52.92.253.207|443|175.86.21.37|42970|TCP|40
1597245911.722893|55.8.36.251|443|136.87.70.20|42080|TCP|40
1597245911.72324|149.18.111.110|23|175.86.20.72|44090|TCP|40
1597245911.723588|52.223.37.89|443|146.55.105.97|7176|TCP|40
1597245911.723959|179.163.182.23|28300|171.198.89.47|63862|UDP|28
1597245911.724274|89.232.231.88|59278|182.22.78.3|32406|UDP|28
1597246228.464336|179.175.57.247|7500|170.239.243.219|52138|TCP|40
1597246228.464851|52.223.37.89|443|146.55.105.97|7176|TCP|40
1597246228.465289|91.4.80.18|18010|182.250.165.63|45194|TCP|40
1597246228.465775|52.92.253.207|443|175.86.21.37|42970|TCP|40
1597246228.466399|52.92.253.207|443|175.86.21.37|42970|TCP|40
1597246228.466808|55.8.36.251|443|136.87.70.20|42080|TCP|40
1597246228.467178|149.18.111.110|23|175.86.20.72|44090|TCP|40
1597246228.467557|52.223.37.89|443|146.55.105.97|7176|TCP|40
1597246228.467947|179.163.182.23|28300|171.198.89.47|63862|UDP|28
1597246228.46827|89.232.231.88|59278|182.22.78.3|32406|UDP|28
1597246228.46887|160.68.140.239|49991|45.62.233.117|445|TCP|40
1597246228.470463|199.105.231.190|80|146.55.105.99|52290|TCP|40
1597246228.470971|199.105.231.190|80|146.55.105.99|52290|TCP|40
1597246228.47148|34.239.67.40|443|146.55.105.92|40568|TCP|40
1597246228.47199|55.8.36.251|443|136.87.70.20|42080|TCP|40
1597246228.472789|91.12.171.106|443|171.176.25.166|38697|TCP|40
1597246228.473279|205.190.20.171|443|161.89.80.150|59363|TCP|40
1597246228.473769|205.190.20.171|443|161.89.80.150|59363|TCP|40
1597246228.474242|128.55.251.95|57725|180.211.115.85|49347|UDP|28
1597246228.474653|30.252.247.54|80|136.186.73.156|57763|TCP|40
1597246228.475126|146.55.91.192|443|146.55.105.93|61970|TCP|40
1597246228.475604|146.55.91.192|443|146.55.105.93|61970|TCP|40
1597246228.476079|30.252.247.54|80|136.186.73.156|57763|TCP|40
1597246228.476557|52.79.70.96|443|175.84.167.221|1632|TCP|40
1597246228.477031|45.225.54.251|47118|30.239.0.115|443|TCP|40
1597246228.477523|146.55.91.192|443|146.55.105.93|61970|TCP|40
1597246228.477998|105.224.210.35|34389|136.28.187.238|10580|UDP|28
1597246228.478409|148.227.42.103|443|136.28.184.252|56428|TCP|40
1597246228.478882|72.106.214.253|80|162.67.235.67|51417|TCP|40
1597246228.47938|34.223.208.227|443|175.242.126.12|55776|TCP|40
1597246228.480072|52.121.191.23|16700|175.84.156.51|18142|UDP|28
1597246228.480494|72.106.214.253|80|162.67.235.67|51417|TCP|40
1597246228.480972|213.13.164.127|50872|203.253.167.159|39951|UDP|28
1597246228.481387|213.5.4.231|443|162.160.211.215|60084|TCP|40
1597246228.481861|128.55.240.54|54004|182.247.21.61|13513|UDP|28
1597246228.482266|146.55.91.192|443|146.55.105.93|61970|TCP|40
1597246228.482728|34.223.208.227|443|175.242.126.12|55776|TCP|40
1597246228.483189|126.49.235.161|27424|219.221.0.216|55008|UDP|28
1597246228.483593|52.223.37.89|443|146.55.105.97|7176|TCP|40
1597246228.484068|91.12.171.106|443|171.176.25.166|38697|TCP|40
1597246228.484543|52.92.253.207|443|175.86.21.37|42970|TCP|40
1597246228.48502|179.175.57.247|7500|170.239.243.219|52138|TCP|40
1597246228.485937|52.92.253.207|443|175.86.21.37|42970|TCP|40
1597246228.486662|25.31.79.30|80|146.55.105.100|64628|TCP|40
1597246228.487209|37.245.124.2|7777|175.73.250.3|63564|UDP|28
1597246228.487782|168.117.52.28|6881|191.151.184.76|62335|UDP|28
1597246228.488479|168.117.52.28|6881|191.151.184.76|62335|UDP|28
1597246228.488974|148.227.42.103|443|136.28.184.252|56428|TCP|40
1597246228.489524|199.192.105.231|443|180.120.246.52|4893|TCP|40
1597246228.490036|146.55.91.192|443|146.55.105.93|61970|TCP|40
1597246228.490539|146.55.91.192|443|146.55.105.93|61970|TCP|40
1597246228.491019|94.164.182.90|56209|45.237.34.151|2431|TCP|40
1597246228.491499|55.28.201.238|443|146.55.105.101|27434|TCP|40
1597246228.492015|55.28.201.238|443|146.55.105.101|27434|TCP|40
1597246228.492518|199.192.105.231|443|180.120.246.52|4893|TCP|40
1597246228.493004|146.55.91.192|443|146.55.105.93|61970|TCP|40
1597246228.493713|26.120.121.242|443|162.67.238.164|38409|TCP|40
1597246228.494202|146.55.91.192|443|146.55.105.93|61970|TCP|40
1597246228.494678|26.120.121.242|443|162.67.238.164|38409|TCP|40
1597246228.495144|146.55.91.192|443|146.55.105.93|61970|TCP|40
1597246228.495568|199.192.105.231|443|180.120.246.52|4893|TCP|40
1597246228.495998|146.55.91.233|443|146.55.105.93|8088|TCP|40
1597246228.496435|35.81.36.252|443|45.170.72.158|45425|TCP|40
1597246228.496863|203.77.48.234|443|45.87.160.224|51215|TCP|40
1597246228.497293|117.157.147.229|49396|175.84.134.90|45657|UDP|28
1597246228.497717|199.192.105.231|443|180.120.246.52|4893|TCP|40
1597246228.498204|199.192.105.231|443|180.120.246.52|4893|TCP|40
1597246228.498676|223.239.74.34|6881|173.249.37.99|58324|UDP|28
1597246228.499045|30.220.161.87|443|146.55.105.99|56154|TCP|40
1597246228.499471|91.71.4.161|80|171.199.191.51|49818|TCP|40
1597246228.499897|213.13.166.60|443|175.73.180.41|51365|TCP|40
1597246228.500321|178.22.254.74|443|161.80.83.183|50347|TCP|40
1597246228.50075|164.172.239.127|53|158.48.141.210|38700|UDP|28
1597246228.501115|13.95.213.38|443|199.124.196.49|12817|TCP|40
1597246228.501606|128.55.250.208|59495|136.34.95.235|60557|UDP|28
1597246228.502444|13.95.213.38|443|199.124.196.49|12817|TCP|40
1597246228.504499|89.28.239.58|45713|173.249.119.133|59415|UDP|28
1597246228.505049|30.220.161.87|443|146.55.105.99|56154|TCP|40
1597246228.505774|91.12.171.106|443|171.176.25.166|38697|TCP|40
1597246228.50626|13.95.213.38|443|199.124.196.49|12817|TCP|40
1597246228.506741|13.95.213.38|443|199.124.196.49|12817|TCP|40
1597246228.507218|124.24.148.185|443|175.84.158.83|62019|TCP|40
1597246228.507917|45.46.231.76|50406|203.24.248.85|2022|UDP|28
1597246228.508332|189.55.242.120|443|146.55.105.98|31156|TCP|40
1597246228.508807|52.100.112.16|443|175.69.90.136|51258|TCP|40
1597246228.509276|94.21.84.159|53|158.48.141.194|61560|UDP|28
1597246228.50969|52.92.253.207|443|175.86.21.37|42970|TCP|40
1597246228.510162|55.8.36.251|443|136.87.70.20|42080|TCP|40
1597246228.510634|169.221.13.230|49847|171.168.25.181|113|TCP|40
1597246228.511106|75.196.96.184|443|175.70.223.239|42756|TCP|40
