srcIP,srcPort,dstIP,dstPort,protocol,ip_tos,ip_flags,ip_ttl,tcp_flag,tcp_window,first,second,third,fourth,fifth,mean,var,min,max,flowSize
101.76.230.21,25271,175.70.49.167,40650,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
105.224.210.35,34389,136.28.187.238,10580,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
115.188.167.227,443,162.190.4.175,1753,TCP,0,0,64,5,8192,40,40,40,0,0,40,0,40,40,120
117.157.147.229,49396,175.84.134.90,45657,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
119.33.19.114,57018,131.96.28.117,27454,UDP,0,0,64,0,0,28,28,0,0,0,28,0,28,28,56
124.24.148.185,443,175.84.158.83,62019,TCP,0,0,64,5,8192,40,40,0,0,0,40,0,40,40,80
126.49.235.161,27424,219.221.0.216,55008,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
128.55.240.54,54004,182.247.21.61,13513,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
128.55.240.89,63482,180.120.208.101,11045,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
128.55.250.208,59495,136.34.95.235,60557,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
128.55.251.95,57725,180.211.115.85,49347,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
13.95.213.38,443,199.124.196.49,12817,TCP,0,0,64,5,8192,40,40,40,40,0,40,0,40,40,160
146.55.90.109,25063,146.55.105.205,2001,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
146.55.91.192,443,146.55.105.93,61970,TCP,0,0,64,5,8192,40,40,40,40,40,40,0,40,40,400
146.55.91.233,443,146.55.105.93,8088,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
148.227.29.239,443,175.241.69.62,45907,TCP,0,0,64,5,8192,40,40,40,40,40,40,0,40,40,320
148.227.42.103,443,136.28.184.252,56428,TCP,0,0,64,5,8192,40,40,40,40,40,40,0,40,40,240
149.18.111.110,23,175.86.20.72,44090,TCP,0,0,64,5,8192,40,40,0,0,0,40,0,40,40,80
154.1.45.6,5056,170.251.23.120,37727,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
158.207.183.218,33110,169.77.36.143,81,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
160.68.140.239,49991,45.62.233.117,445,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
164.172.239.127,53,158.48.141.210,38700,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
168.117.52.28,6881,191.151.184.76,62335,UDP,0,0,64,0,0,28,28,0,0,0,28,0,28,28,56
169.154.177.205,40611,175.73.239.69,23236,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
169.158.211.70,1935,182.22.92.26,60975,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
169.221.13.230,49847,171.168.25.181,113,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
178.13.129.213,443,161.195.236.61,41080,UDP,0,0,64,0,0,28,28,0,0,0,28,0,28,28,56
178.22.254.74,443,161.80.83.183,50347,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
179.163.182.23,28300,171.198.89.47,63862,UDP,0,0,64,0,0,28,28,0,0,0,28,0,28,28,56
179.173.230.202,62368,175.71.112.102,47418,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
179.175.57.247,7500,170.239.243.219,52138,TCP,0,0,64,5,8192,40,40,40,40,40,40,0,40,40,280
189.193.16.154,443,175.84.156.56,63529,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
189.51.189.98,443,202.209.117.193,15805,TCP,0,0,64,5,8192,40,40,40,40,40,40,0,40,40,320
189.55.242.120,443,146.55.105.106,12892,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
189.55.242.120,443,146.55.105.98,30812,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
189.55.242.120,443,146.55.105.98,31156,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
189.61.194.100,21082,171.222.161.108,3257,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
190.202.144.71,80,45.224.105.54,42206,TCP,0,0,64,5,8192,40,40,0,0,0,40,0,40,40,80
192.118.74.55,3020,175.240.7.1,5497,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
192.177.199.184,52107,161.192.10.11,1024,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
194.227.122.121,49378,169.77.38.250,50040,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
197.131.183.223,46085,161.192.10.113,2600,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
197.251.7.12,44255,45.170.72.196,34270,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
199.105.231.190,80,146.55.105.99,52290,TCP,0,0,64,5,8192,40,40,0,0,0,40,0,40,40,80
199.192.105.231,443,180.120.246.52,4893,TCP,0,0,64,5,8192,40,40,40,40,40,40,0,40,40,200
203.77.48.234,443,45.87.160.224,51215,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
205.190.20.171,443,161.89.80.150,59363,TCP,0,0,64,5,8192,40,40,40,40,0,40,0,40,40,160
205.190.20.171,443,202.118.69.246,43646,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
205.190.20.52,443,161.195.226.60,55434,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
207.4.181.92,23,161.73.84.125,47893,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
211.131.188.21,443,184.253.141.46,33313,TCP,0,0,64,5,8192,40,40,40,0,0,40,0,40,40,120
213.13.164.127,50872,203.253.167.159,39951,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
213.13.166.231,443,180.211.115.234,55779,TCP,0,0,64,5,8192,40,40,40,40,40,40,0,40,40,400
213.13.166.60,443,175.73.180.41,51365,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
213.5.4.231,443,162.160.211.215,60084,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
215.52.141.200,32767,175.68.190.133,8545,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
223.239.74.34,6881,173.249.37.99,58324,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
25.31.79.30,80,146.55.105.100,64628,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
25.74.204.189,443,146.55.105.95,53938,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
26.120.121.242,443,162.67.238.164,38409,TCP,0,0,64,5,8192,40,40,40,0,0,40,0,40,40,120
30.220.161.123,443,146.55.105.101,18780,TCP,0,0,64,5,8192,40,40,0,0,0,40,0,40,40,80
30.220.161.87,443,146.55.105.99,56154,TCP,0,0,64,5,8192,40,40,0,0,0,40,0,40,40,80
30.252.247.54,80,136.186.73.156,57763,TCP,0,0,64,5,8192,40,40,0,0,0,40,0,40,40,80
34.223.208.227,443,175.242.126.12,55776,TCP,0,0,64,5,8192,40,40,0,0,0,40,0,40,40,80
34.239.67.40,443,146.55.105.92,40568,TCP,0,0,64,5,8192,40,40,0,0,0,40,0,40,40,80
35.81.36.252,443,45.170.72.158,45425,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
37.245.124.2,7777,175.73.250.3,63564,UDP,0,0,64,0,0,28,28,0,0,0,28,0,28,28,56
45.225.54.251,47118,30.239.0.115,443,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
45.227.253.244,52726,162.103.157.124,4291,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
45.46.183.52,443,203.24.251.159,27976,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
45.46.231.76,50406,203.24.248.85,2022,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
47.39.231.24,8000,175.84.140.102,34445,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
49.221.191.236,25545,66.35.161.128,443,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
52.100.112.16,443,175.69.90.136,51258,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
52.121.191.23,16700,175.84.156.51,18142,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
52.223.37.89,443,146.55.105.97,7176,TCP,0,0,64,5,8192,40,40,40,40,40,40,0,40,40,440
52.7.174.135,443,146.55.105.106,59282,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
52.79.70.96,443,175.84.167.221,1632,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
52.92.253.207,443,175.86.21.37,42970,TCP,0,0,64,5,8192,40,40,40,40,40,40,0,40,40,320
55.27.163.40,4999,175.84.130.239,41073,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
55.28.201.238,443,146.55.105.101,27434,TCP,0,0,64,5,8192,40,40,40,0,0,40,0,40,40,120
55.28.201.238,443,146.55.105.94,64234,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
55.8.36.251,443,136.87.70.20,42080,TCP,0,0,64,5,8192,40,40,40,40,40,40,0,40,40,280
62.135.165.105,80,162.160.55.116,54905,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
72.106.214.253,80,162.67.235.67,51417,TCP,0,0,64,5,8192,40,40,0,0,0,40,0,40,40,80
75.196.96.184,443,175.70.223.239,42756,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
89.232.231.88,59278,182.22.78.3,32406,UDP,0,0,64,0,0,28,28,0,0,0,28,0,28,28,56
89.28.239.58,45713,173.249.119.133,59415,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
91.12.171.106,443,171.176.25.166,38697,TCP,0,0,64,5,8192,40,40,40,40,0,40,0,40,40,160
91.4.80.18,18010,182.250.165.63,45194,TCP,0,0,64,5,8192,40,40,40,0,0,40,0,40,40,120
91.71.4.161,80,171.199.191.51,49818,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
93.45.160.82,55536,45.62.98.80,445,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
94.164.182.90,56209,45.237.34.151,2431,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
94.20.173.160,53,158.48.141.156,17826,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
94.21.84.159,53,158.48.141.194,61560,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
